startDate,timeStep,size,sizeNext,sizeChange,surv
10/3/05,0,23.62,60.49,36.87,1
10/3/05,0,30.07,70.26,40.19,1
10/3/05,0,26.7,47.75,21.05,1
10/3/05,0,27.93,50.1,22.17,1
10/3/05,0,31.52,52.67,21.15,1
10/3/05,0,33.56,NA,NA,0
10/3/05,0,35.87,68.08,32.21,1
10/3/05,0,28.22,49.77,21.55,1
10/3/05,0,32.49,60.55,28.06,1
10/3/05,0,37.36,68.39,31.03,1
10/3/05,0,33.55,58.85,25.3,1
10/3/05,0,28.78,56.56,27.78,1
10/3/05,0,25.85,51.42,25.57,1
10/3/05,0,28.92,57.79,28.87,1
10/3/05,0,40.2,68.8,28.6,1
10/3/05,0,25.75,52.14,26.39,1
10/3/05,0,38.1,64.84,26.74,1
10/3/05,0,18.34,37.77,19.43,1
10/3/05,0,27.41,58.72,31.31,1
10/3/05,0,25.83,53.47,27.64,1
10/3/05,0,30.94,56.51,25.57,1
10/3/05,0,16.5,41.84,25.34,1
10/3/05,0,20.06,62.52,42.46,1
10/3/05,0,29.03,52.17,23.14,1
10/3/05,0,20.93,48.45,27.52,1
10/3/05,0,36.26,62.3,26.04,1
10/3/05,0,28.36,64.36,36,1
10/3/05,0,26.23,50.86,24.63,1
10/3/05,0,30.04,50.99,20.95,1
10/3/05,0,28.53,54.18,25.65,1
10/3/05,0,15.77,29.51,13.74,1
10/3/05,0,42.59,69.49,26.9,1
10/3/05,0,21.95,36.99,15.04,1
10/3/05,0,19.89,39.21,19.32,1
10/3/05,0,26.76,51.28,24.52,1
10/3/05,0,34.76,68.42,33.66,1
10/3/05,0,30.69,58.13,27.44,1
10/3/05,0,42.08,65.77,23.69,1
10/3/05,0,24.07,48.98,24.91,1
10/3/05,0,18.73,40.34,21.61,1
10/3/05,0,26.63,44.23,17.6,1
10/3/05,0,50.87,75.05,24.18,1
10/3/05,0,35.84,54.01,18.17,1
10/3/05,0,33.1,66.47,33.37,1
10/3/05,0,30.7,54.15,23.45,1
10/3/05,0,32.37,73.85,41.48,1
10/3/05,0,26.26,47.56,21.3,1
10/3/05,0,35.85,56.65,20.8,1
10/3/05,0,29.35,44.05,14.7,1
10/3/05,0,39.53,81.97,42.44,1
10/3/05,0,31.61,53.1,21.49,1
10/3/05,0,35.2,49.15,13.95,1
10/3/05,0,37.42,53.2,15.78,1
10/3/05,0,23.53,49.75,26.22,1
10/3/05,0,39.54,63.76,24.22,1
10/3/05,0,26.25,56.08,29.83,1
10/3/05,0,30.97,55.24,24.27,1
10/3/05,0,30.94,53.07,22.13,1
10/3/05,0,24.77,48.91,24.14,1
10/3/05,0,21.47,56.26,34.79,1
10/3/05,0,20.39,60.55,40.16,1
10/3/05,0,26.48,50.19,23.71,1
10/3/05,0,33.11,62.57,29.46,1
10/3/05,0,24.63,52.66,28.03,1
10/3/05,0,32.09,55.36,23.27,1
10/3/05,0,27.14,52.03,24.89,1
10/3/05,0,31.83,58,26.17,1
10/3/05,0,35.58,59.83,24.25,1
10/3/05,0,24.34,40,15.66,1
10/3/05,0,32.82,59.54,26.72,1
10/3/05,0,32.96,52.18,19.22,1
10/3/05,0,35.55,51.11,15.56,1
10/3/05,0,33.57,55.49,21.92,1
10/3/05,0,29.26,56.36,27.1,1
10/3/05,0,23.16,58.22,35.06,1
10/3/05,0,24.42,41.51,17.09,1
10/3/05,0,30.49,62.78,32.29,1
10/3/05,0,32.45,58.32,25.87,1
10/3/05,0,34.7,NA,NA,0
10/3/05,0,35.04,58.08,23.04,1
10/3/05,0,36.11,60.13,24.02,1
10/3/05,0,25.72,58.17,32.45,1
10/3/05,0,35.66,61.44,25.78,1
10/3/05,0,32.09,NA,NA,0
10/3/05,0,29.94,55.27,25.33,1
10/3/05,0,33.11,71.33,38.22,1
10/3/05,0,24.06,50.9,26.84,1
10/3/05,0,24.07,41.47,17.4,1
10/3/05,0,30.36,44.17,13.81,1
10/3/05,0,41.44,66.04,24.6,1
10/3/05,0,30.38,51.83,21.45,1
10/3/05,0,27.57,46.46,18.89,1
10/3/05,0,42.43,61.51,19.08,1
10/3/05,0,20.75,41.22,20.47,1
10/3/05,0,26.11,NA,NA,0
10/3/05,0,34.39,56.05,21.66,1
10/3/05,0,22.99,42.26,19.27,1
10/3/05,0,34.56,59.24,24.68,1
10/3/05,0,30.23,59.14,28.91,1
10/3/05,0,36.23,53.45,17.22,1
10/3/05,0,29.64,63.78,34.14,1
10/3/05,0,25.23,43.11,17.88,1
10/3/05,0,44.73,73.3,28.57,1
10/3/05,0,26.51,42.25,15.74,1
10/3/05,0,28.74,58.64,29.9,1
10/3/05,0,40.72,65.85,25.13,1
10/3/05,0,26.1,53.32,27.22,1
10/3/05,0,26.04,54.44,28.4,1
10/3/05,0,33.04,55.54,22.5,1
10/3/05,0,37.51,59.12,21.61,1
10/3/05,0,30.43,52.29,21.86,1
10/3/05,0,30.06,53.36,23.3,1
10/3/05,0,27.8,54.22,26.42,1
10/3/05,0,36.78,67.85,31.07,1
10/3/05,0,23.66,50.97,27.31,1
10/3/05,0,38.43,72.16,33.73,1
10/3/05,0,34.07,56.96,22.89,1
10/3/05,0,30.9,NA,NA,0
10/3/05,0,40.08,61.11,21.03,1
10/3/05,0,21.17,NA,NA,0
10/3/05,0,29.08,51.79,22.71,1
10/3/05,0,25.92,53.35,27.43,1
10/3/05,0,40.98,65.97,24.99,1
10/3/05,0,43.46,68.32,24.86,1
10/3/05,0,28.07,50.73,22.66,1
10/3/05,0,29.43,57.68,28.25,1
10/3/05,0,31.06,57.23,26.17,1
10/3/05,0,28.57,NA,NA,0
10/3/05,0,32.61,52.16,19.55,1
10/3/05,0,29.1,52.33,23.23,1
10/3/05,0,30.94,56.28,25.34,1
10/3/05,0,24.75,51.49,26.74,1
10/3/05,0,21.93,50.71,28.78,1
10/3/05,0,30.08,58.17,28.09,1
10/3/05,0,28.1,62.54,34.44,1
10/3/05,0,30.49,56.28,25.79,1
10/3/05,0,32.76,43.38,10.62,1
10/3/05,0,27.3,51.66,24.36,1
10/3/05,0,28.13,57.26,29.13,1
10/3/05,0,27.99,58.51,30.52,1
10/3/05,0,27.28,63.66,36.38,1
10/3/05,0,44.94,70.63,25.69,1
10/3/05,0,27.6,46.92,19.32,1
10/3/05,0,34.47,51.59,17.12,1
10/3/05,0,27,67.51,40.51,1
10/3/05,0,29.53,51.25,21.72,1
10/3/05,0,21.9,42.99,21.09,1
10/3/05,0,34.06,46.53,12.47,1
10/3/05,0,34.12,72.04,37.92,1
10/3/05,0,21.79,48.01,26.22,1
10/3/05,0,23.14,50.56,27.42,1
10/3/05,0,24.29,36.87,12.58,1
10/3/05,0,39,63.72,24.72,1
10/3/05,0,33.1,64.94,31.84,1
10/3/05,0,36.34,59.85,23.51,1
10/3/05,0,30.12,50.06,19.94,1
10/3/05,0,37.8,62.09,24.29,1
10/3/05,0,28.9,NA,NA,0
10/3/05,0,27.75,48.89,21.14,1
10/3/05,0,29.37,45.06,15.69,1
10/3/05,0,33.07,54.47,21.4,1
10/3/05,0,37.84,48.29,10.45,1
10/3/05,0,27.96,46.61,18.65,1
10/3/05,0,23.06,59.74,36.68,1
10/3/05,0,32.32,53.18,20.86,1
10/3/05,0,37.65,54.62,16.97,1
10/3/05,0,32.19,56.48,24.29,1
10/3/05,0,30.3,49.9,19.6,1
10/3/05,0,27.96,NA,NA,0
10/3/05,0,27.89,55.73,27.84,1
10/3/05,0,41.76,71.99,30.23,1
10/3/05,0,25.42,47.92,22.5,1
10/3/05,0,43.41,63.11,19.7,1
10/3/05,0,23.9,NA,NA,0
10/3/05,0,23.1,40.41,17.31,1
10/3/05,0,33.03,61.82,28.79,1
10/3/05,0,27.01,52.33,25.32,1
10/3/05,0,24.52,NA,NA,0
10/3/05,0,34.62,69.07,34.45,1
10/3/05,0,27.25,50.31,23.06,1
10/3/05,0,34.33,65.55,31.22,1
10/3/05,0,36.04,58.26,22.22,1
10/3/05,0,32.42,65,32.58,1
10/3/05,0,42.01,69.22,27.21,1
10/3/05,0,30.18,63.47,33.29,1
10/3/05,0,46.4,69.46,23.06,1
10/3/05,0,23.15,NA,NA,0
10/3/05,0,50.6,58.96,8.36,1
10/3/05,0,28.92,52.63,23.71,1
10/3/05,0,29.7,53.38,23.68,1
10/3/05,0,26.6,NA,NA,0
10/3/05,0,26.84,NA,NA,0
10/3/05,0,43.76,80.12,36.36,1
10/3/05,0,29.58,58.36,28.78,1
10/3/05,0,30.68,55.42,24.74,1
