startDate,timeStep,species,location,size,sizeNext,sizeChange,log.sizeChange,surv
2007-10-11,1,CV,WB,60.4,71.54079466,11.14079466,2.41061356588677,1
2007-10-11,1,CV,WB,86.1,89.13254474,3.03254474000001,1.10940211523095,1
2007-10-11,1,CV,WB,64.4,73.9061007,9.50610069999999,2.2519337714452,1
2007-10-11,1,CV,WB,73,NA,NA,NA,0
2007-10-11,1,CV,WB,78.68375597,NA,NA,NA,0
2007-10-11,1,CV,WB,72.14740673,NA,NA,NA,0
2007-10-11,1,CV,WB,75.37614847,NA,NA,NA,0
2007-10-11,1,CV,WB,70.9,NA,NA,NA,0
2007-10-11,1,CV,WB,69.3122014,98.52940096,29.21719956,3.37475756189389,1
2007-10-11,1,CV,WB,68.8,103.1233003,34.3233003,3.53582443258385,1
2007-10-11,1,CV,WB,67.5,107.6,40.1,3.69137633431252,1
2007-10-11,1,CV,WB,66.37210584,88.23906652,21.86696068,3.08497685292325,1
2007-10-11,1,CV,WB,72.9,84.27964816,11.37964816,2.43182651082129,1
2007-10-11,1,CV,WB,68.5,NA,NA,NA,0
2007-10-11,1,CV,WB,71.9,NA,NA,NA,0
2007-10-11,1,CV,WB,79.9,NA,NA,NA,0
2007-10-11,1,CV,WB,71.6,NA,NA,NA,0
2007-10-11,1,CV,WB,58.7,60.8,2.09999999999999,0.741937344729375,1
2007-10-11,1,CV,WB,55.53050349,NA,NA,NA,0
2007-10-11,1,CV,WB,75.7,NA,NA,NA,0
2007-10-11,1,CV,WB,70.83308058,86.58526277,15.75218219,2.75697890742027,1
2007-10-11,1,CV,WB,72.85512082,91.45789101,18.60277019,2.92331050457568,1
2007-10-11,1,CV,WB,54.2,NA,NA,NA,0
2007-10-11,1,CV,WB,79.5278536,NA,NA,NA,0
2007-10-11,1,CV,WB,76.19148721,NA,NA,NA,0
2007-10-11,1,CV,WB,65.6,NA,NA,NA,0
2007-10-11,1,CV,WB,73.4,NA,NA,NA,0
2007-10-11,1,CV,WB,69.8,NA,NA,NA,0
2007-10-11,1,CV,WB,63.75593974,NA,NA,NA,0
2007-10-11,1,CV,WB,71.88478501,86.58526277,14.70047776,2.68787999393683,1
2007-10-11,1,CV,WB,65.5,106.4309078,40.9309078,3.71188546958892,1
2007-10-11,1,CV,WB,55.1,NA,NA,NA,0
2007-10-11,1,CV,WB,61.6,82,20.4,3.01553490085017,1
2007-10-11,1,CV,WB,65.1,75.1,10,2.30258509299405,1
2007-10-11,1,CV,WB,44.4,78.13248806,33.73248806,3.51846141036143,1
2007-10-11,1,CV,WB,68.9,110.8,41.9,3.73528582692809,1
2007-10-11,1,CV,WB,57.5,NA,NA,NA,0
2007-10-11,1,CV,WB,47.3,67.6,20.3,3.01062088604774,1
2007-10-11,1,CV,WB,61.9,103,41.1,3.71600812150219,1
2007-10-11,1,CV,WB,63,92.67111516,29.67111516,3.39017401903625,1
2007-10-11,1,CV,WB,68,92.77221717,24.77221717,3.20972274979017,1
2007-10-11,1,CV,WB,69.6,83.8,14.2,2.65324196460722,1
2007-10-11,1,CV,WB,55.1,NA,NA,NA,0
2007-10-11,1,CV,WB,57.1,66.8,9.7,2.27212588550934,1
